airline,airline_id,source,source_id,dest,dest_id,codeshare,stops,equipment
2B,410,AER,2965,KZN,2990,NaN,0,CR2
2B,410,ASF,2966,KZN,2990,NaN,0,CR2
2B,410,ASF,2966,MRV,2962,NaN,0,CR2
2B,410,CEK,2968,KZN,2990,NaN,0,CR2
2B,410,CEK,2968,OVB,4078,NaN,0,CR2
2B,410,DME,4029,KZN,2990,NaN,0,CR2
2B,410,DME,4029,NBC,6969,NaN,0,CR2
2B,410,DME,4029,TGK,\N,NaN,0,CR2
2B,410,DME,4029,UUA,6160,NaN,0,CR2
2B,410,EGO,6156,KGD,2952,NaN,0,CR2
2B,410,EGO,6156,KZN,2990,NaN,0,CR2
2B,410,GYD,2922,NBC,6969,NaN,0,CR2
2B,410,KGD,2952,EGO,6156,NaN,0,CR2
2B,410,KZN,2990,AER,2965,NaN,0,CR2
2B,410,KZN,2990,ASF,2966,NaN,0,CR2
2B,410,KZN,2990,CEK,2968,NaN,0,CR2
2B,410,KZN,2990,DME,4029,NaN,0,CR2
2B,410,KZN,2990,EGO,6156,NaN,0,CR2
2B,410,KZN,2990,LED,2948,NaN,0,CR2
2B,410,KZN,2990,SVX,2975,NaN,0,CR2
2B,410,LED,2948,KZN,2990,NaN,0,CR2
2B,410,LED,2948,NBC,6969,NaN,0,CR2
2B,410,LED,2948,UUA,6160,NaN,0,CR2
2B,410,MRV,2962,ASF,2966,NaN,0,CR2
2B,410,NBC,6969,DME,4029,NaN,0,CR2
2B,410,NBC,6969,GYD,2922,NaN,0,CR2
2B,410,NBC,6969,LED,2948,NaN,0,CR2
2B,410,NBC,6969,SVX,2975,NaN,0,CR2
2B,410,NJC,2972,SVX,2975,NaN,0,CR2
2B,410,NJC,2972,UUA,6160,NaN,0,CR2
